Lines of code metrics,Fr., 11 Apr. 2025 12:32:19 MESZ
Method,CLOC,JLOC,LOC,NCLOC,RLOC
ch.unibas.dmi.dbis.cs108.client.ui.utils.ThemeManager.Theme.Theme(String),0,0,3,3,"30,00%"
ch.unibas.dmi.dbis.cs108.client.ui.utils.ThemeManager.Theme.getPath(),0,0,3,3,"30,00%"
ch.unibas.dmi.dbis.cs108.client.ui.utils.ThemeManager.ThemeManager(),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.ui.utils.ThemeManager.applyThemeToAllScenes(),0,0,5,5,"5,75%"
ch.unibas.dmi.dbis.cs108.client.ui.utils.ThemeManager.applyThemeToScene(Scene),2,0,11,9,"12,64%"
ch.unibas.dmi.dbis.cs108.client.ui.utils.ThemeManager.getInstance(),0,0,6,6,"6,90%"
ch.unibas.dmi.dbis.cs108.client.ui.utils.ThemeManager.loadFonts(),3,0,34,31,"39,08%"
ch.unibas.dmi.dbis.cs108.client.ui.utils.ThemeManager.registerScene(Scene),0,0,6,6,"6,90%"
ch.unibas.dmi.dbis.cs108.client.ui.utils.ThemeManager.setTheme(Theme),0,0,6,6,"6,90%"
ch.unibas.dmi.dbis.cs108.example.HelloWorld.main(String[]),0,0,3,3,"37,50%"
"ch.unibas.dmi.dbis.cs108.example.HexMap.HexMap(int, int)",4,6,9,3,"25,71%"
"ch.unibas.dmi.dbis.cs108.example.HexMap.generateMap(int, int)",5,6,9,2,"25,71%"
ch.unibas.dmi.dbis.cs108.example.HexMap.printMap(),4,3,6,2,"17,14%"
"ch.unibas.dmi.dbis.cs108.example.HexTile.HexTile(int, int, String, String)",4,8,14,6,"23,73%"
ch.unibas.dmi.dbis.cs108.example.HexTile.getInfo(),4,5,9,4,"15,25%"
ch.unibas.dmi.dbis.cs108.example.HexTile.placeBuilding(String),4,5,8,3,"13,56%"
ch.unibas.dmi.dbis.cs108.example.HexTile.removeBuilding(),3,3,6,3,"10,17%"
ch.unibas.dmi.dbis.cs108.example.gui.javafx.GUI.main(String[]),4,4,7,3,"33,33%"
ch.unibas.dmi.dbis.cs108.example.gui.javafx.GUI.start(Stage),0,0,9,9,"42,86%"
ch.unibas.dmi.dbis.cs108.example.gui.javafx.Main.main(String[]),4,4,7,3,"58,33%"
ch.unibas.dmi.dbis.cs108.example.gui.swing.SwingGUI.createAndShowGUI(),4,0,12,9,"57,14%"
ch.unibas.dmi.dbis.cs108.example.gui.swing.SwingGUI.main(String[]),1,0,4,3,"19,05%"
ch.unibas.dmi.dbis.cs108.server.app.ServerMain.main(String),5,6,20,14,"76,92%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.GameLogic(String[]),5,6,10,4,"1,77%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.PlayerActionHandler.execute(Object...),0,n/a,n/a,1,"12,50%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.buyStatue(String, String)",6,8,54,46,"9,56%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.buyStructure(String, String)",7,8,52,43,"9,20%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.buyStructure(int, String)",9,0,25,16,"4,42%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.buyTile(int, int, String)",7,9,28,18,"4,96%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.endGame(),7,5,22,15,"3,89%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.endTurn(),7,6,13,7,"2,30%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.executeAction(PlayerAction, Object...)",4,7,15,8,"2,65%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.findPlayerByName(String),4,6,9,3,"1,59%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.getGameState(),4,5,8,3,"1,42%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.getPlayerByName(String),4,6,12,6,"2,12%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.initializeFirstTurn(),7,6,14,7,"2,48%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.nextTurn(),6,4,25,19,"4,42%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.placeStructure(int, int, int, String)",6,10,39,29,"6,90%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.registerActionHandlers(),3,3,14,11,"2,48%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.resourcesIncome(Player),8,7,22,13,"3,89%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.sortPlayersByScore(List<Player>),5,6,9,3,"1,59%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.startGame(String[]),6,7,12,5,"2,12%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.upgradeStatue(int, int, String, String)",6,10,27,17,"4,78%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.useFieldArtifact(int, int, int, String, String)",7,9,27,17,"4,78%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.usePlayerArtifact(int, String, String, String)",10,10,32,18,"5,66%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.useStatue(int, int, int, String, String)",6,11,26,15,"4,60%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogic.useStructure(int, int, int, String, String)",8,11,30,17,"5,31%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.buyStatue(String, String)",4,n/a,n/a,1,"6,48%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.buyStructure(String, String)",4,n/a,n/a,1,"6,48%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.buyTile(int, int, String)",4,n/a,n/a,1,"8,33%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.endGame(),3,n/a,n/a,1,"3,70%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.endTurn(),3,n/a,n/a,1,"3,70%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.nextTurn(),3,n/a,n/a,1,"3,70%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.placeStructure(int, int, int, String)",4,n/a,n/a,1,"9,26%"
ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.startGame(String[]),4,n/a,n/a,1,"5,56%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.upgradeStatue(int, int, String, String)",4,n/a,n/a,1,"9,26%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.useFieldArtifact(int, int, int, String, String)",4,n/a,n/a,1,"9,26%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.usePlayerArtifact(int, String, String, String)",4,n/a,n/a,1,"8,33%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.useStatue(int, int, int, String, String)",4,n/a,n/a,1,"9,26%"
"ch.unibas.dmi.dbis.cs108.server.core.logic.GameLogicInterface.useStructure(int, int, int, String, String)",4,n/a,n/a,1,"10,19%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.GameState(),3,0,7,7,"1,53%"
"ch.unibas.dmi.dbis.cs108.server.core.State.GameState.addArtifact(Artefact[], String)",4,6,23,17,"5,03%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.addPlayer(String),4,5,9,4,"1,97%"
"ch.unibas.dmi.dbis.cs108.server.core.State.GameState.addRunes(int, String)",4,6,15,9,"3,28%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getActivePlayer(),0,0,3,3,"0,66%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getArtifacts(String),4,6,25,19,"5,47%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getBoard(),0,0,1,1,"0,22%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getGameField(),4,5,16,11,"3,50%"
"ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getGameFieldValue(int, int)",4,7,22,15,"4,81%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getGameRound(),4,5,8,3,"1,75%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getPlayerList(),0,0,3,3,"0,66%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getPlayerRound(),4,5,8,3,"1,75%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getPlayerTurn(),4,5,14,9,"3,06%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getPlayers(),4,5,16,11,"3,50%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getRunes(String),4,6,15,9,"3,28%"
"ch.unibas.dmi.dbis.cs108.server.core.State.GameState.getTile(int, int)",4,7,18,11,"3,94%"
"ch.unibas.dmi.dbis.cs108.server.core.State.GameState.removeArtifact(Artefact[], String)",4,6,15,9,"3,28%"
"ch.unibas.dmi.dbis.cs108.server.core.State.GameState.removeRunes(int, String)",5,7,17,10,"3,72%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.reset(),3,3,10,7,"2,19%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.setActivePlayer(String),0,0,9,9,"1,97%"
"ch.unibas.dmi.dbis.cs108.server.core.State.GameState.setArtifacts(Artefact[], String)",4,6,25,19,"5,47%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.setGameField(Tile[][]),6,5,22,15,"4,81%"
"ch.unibas.dmi.dbis.cs108.server.core.State.GameState.setGameFieldValue(int, int, int)",4,7,22,15,"4,81%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.setGameRound(int),4,6,13,7,"2,84%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.setPlayerRound(int),4,5,8,3,"1,75%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.setPlayerTurn(String),4,5,14,9,"3,06%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.setPlayers(String[]),6,5,29,22,"6,35%"
"ch.unibas.dmi.dbis.cs108.server.core.State.GameState.setRunes(int, String)",4,6,19,13,"4,16%"
"ch.unibas.dmi.dbis.cs108.server.core.State.GameState.setTile(int, int, Tile)",4,7,22,15,"4,81%"
ch.unibas.dmi.dbis.cs108.server.core.State.GameState.toString(),0,0,10,10,"2,19%"
"ch.unibas.dmi.dbis.cs108.server.core.events.ArtifactAcquiredEvent.ArtifactAcquiredEvent(Player, Artefact)",4,6,10,4,"29,41%"
ch.unibas.dmi.dbis.cs108.server.core.events.ArtifactAcquiredEvent.getArtifact(),4,5,8,3,"23,53%"
ch.unibas.dmi.dbis.cs108.server.core.events.ArtifactAcquiredEvent.getPlayer(),4,5,8,3,"23,53%"
"ch.unibas.dmi.dbis.cs108.server.core.events.ArtifactActivatedEvent.ArtifactActivatedEvent(Player, Artefact)",4,6,10,4,"29,41%"
ch.unibas.dmi.dbis.cs108.server.core.events.ArtifactActivatedEvent.getArtifact(),4,5,8,3,"23,53%"
ch.unibas.dmi.dbis.cs108.server.core.events.ArtifactActivatedEvent.getPlayer(),4,5,8,3,"23,53%"
ch.unibas.dmi.dbis.cs108.server.core.events.EventDispatcher.dispatch(GameEvent),4,5,10,5,"35,71%"
ch.unibas.dmi.dbis.cs108.server.core.events.EventDispatcher.register(GameEventListener),4,5,8,3,"28,57%"
ch.unibas.dmi.dbis.cs108.server.core.events.GameRoundEndedEvent.GameRoundEndedEvent(int),0,0,3,3,"33,33%"
ch.unibas.dmi.dbis.cs108.server.core.events.GameRoundEndedEvent.getRoundNumber(),0,0,3,3,"33,33%"
ch.unibas.dmi.dbis.cs108.server.core.events.GameRoundStartedEvent.GameRoundStartedEvent(int),0,0,3,3,"33,33%"
ch.unibas.dmi.dbis.cs108.server.core.events.GameRoundStartedEvent.getRoundNumber(),0,0,3,3,"33,33%"
"ch.unibas.dmi.dbis.cs108.server.core.events.StatueActivatedEvent.StatueActivatedEvent(Player, Statue, Outcome)",0,0,5,5,"25,00%"
ch.unibas.dmi.dbis.cs108.server.core.events.StatueActivatedEvent.getOutcome(),0,0,3,3,"15,00%"
ch.unibas.dmi.dbis.cs108.server.core.events.StatueActivatedEvent.getPlayer(),0,0,3,3,"15,00%"
ch.unibas.dmi.dbis.cs108.server.core.events.StatueActivatedEvent.getStatue(),0,0,3,3,"15,00%"
"ch.unibas.dmi.dbis.cs108.server.core.events.StructureUpgradedEvent.StructureUpgradedEvent(Player, Structure, int, int)",0,0,6,6,"25,00%"
ch.unibas.dmi.dbis.cs108.server.core.events.StructureUpgradedEvent.getNewLevel(),0,0,3,3,"12,50%"
ch.unibas.dmi.dbis.cs108.server.core.events.StructureUpgradedEvent.getPlayer(),0,0,3,3,"12,50%"
ch.unibas.dmi.dbis.cs108.server.core.events.StructureUpgradedEvent.getPreviousLevel(),0,0,3,3,"12,50%"
ch.unibas.dmi.dbis.cs108.server.core.events.StructureUpgradedEvent.getStructure(),0,0,3,3,"12,50%"
"ch.unibas.dmi.dbis.cs108.server.core.events.TilePurchasedEvent.TilePurchasedEvent(Player, Tile)",0,0,4,4,"28,57%"
ch.unibas.dmi.dbis.cs108.server.core.events.TilePurchasedEvent.getPlayer(),0,0,3,3,"21,43%"
ch.unibas.dmi.dbis.cs108.server.core.events.TilePurchasedEvent.getTile(),0,0,3,3,"21,43%"
"ch.unibas.dmi.dbis.cs108.server.core.events.TrapPlacedEvent.TrapPlacedEvent(Player, Tile)",1,0,5,4,"26,32%"
ch.unibas.dmi.dbis.cs108.server.core.events.TrapPlacedEvent.getPlayer(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.server.core.events.TrapPlacedEvent.getTile(),0,0,3,3,"15,79%"
"ch.unibas.dmi.dbis.cs108.server.core.events.TrapTriggeredEvent.TrapTriggeredEvent(Player, Tile)",1,0,5,4,"26,32%"
ch.unibas.dmi.dbis.cs108.server.core.events.TrapTriggeredEvent.getTile(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.server.core.events.TrapTriggeredEvent.getTriggeredPlayer(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Command.Command(String),4,7,18,11,"18,75%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Command.checkArgumentsSize(),4,5,19,14,"19,79%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Command.getArgs(),4,5,8,3,"8,33%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Command.getCommand(),4,5,8,3,"8,33%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Command.isValid(),9,5,24,14,"25,00%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Command.toString(),4,5,10,5,"10,42%"
"ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.Lobby(String, int)",0,0,7,7,"3,52%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.LobbyStatus.LobbyStatus(String),0,0,3,3,"25,00%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.LobbyStatus.getStatus(),0,0,3,3,"25,00%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.addPlayer(ClientHandler),0,0,9,9,"4,52%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.broadcastMessage(String),0,0,5,5,"2,51%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.endGame(),5,5,21,15,"10,55%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.getGameLogic(),0,0,7,7,"3,52%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.getId(),0,0,3,3,"1,51%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.getPlayers(),0,0,3,3,"1,51%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.getStatus(),0,0,3,3,"1,51%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.handleAutomaticTurn(),3,3,14,11,"7,04%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.isEmpty(),0,0,3,3,"1,51%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.isFull(),0,0,3,3,"1,51%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.listPlayers(),0,0,8,8,"4,02%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.manualEndTurn(),5,3,13,8,"6,53%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.removePlayer(ClientHandler),0,0,9,9,"4,52%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.resetTurnTimer(),8,3,26,20,"13,07%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.startGame(),3,0,28,27,"14,07%"
ch.unibas.dmi.dbis.cs108.server.core.structures.Lobby.toString(),0,0,9,9,"4,52%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.CommandHandler(ClientHandler),4,5,11,6,"1,55%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.getGameLogic(),5,5,12,6,"1,69%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleBuyStatue(Command),4,6,29,23,"4,09%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleBuyStructure(Command),4,6,26,20,"3,67%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleBuyTile(Command),4,6,37,31,"5,22%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleChangeName(Command),5,6,28,21,"3,95%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleCreateLobby(Command),6,6,22,16,"3,10%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleEndTurn(),4,5,16,11,"2,26%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleGetGameStatus(),4,5,16,11,"2,26%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleGetPrices(),6,5,18,12,"2,54%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleGlobalChatMessage(Command),4,6,12,6,"1,69%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleJoinLobby(Command),4,6,28,22,"3,95%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleLeaveLobby(),4,5,21,16,"2,96%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleListLobbies(),4,5,18,13,"2,54%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleListPlayers(Command),4,6,30,24,"4,23%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleLobbyMessage(Command),4,6,17,11,"2,40%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handlePlaceStructure(Command),4,6,31,25,"4,37%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handlePrivateMessage(Command),4,6,27,21,"3,81%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleRegister(Command),6,7,29,21,"4,09%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleStartGame(),4,5,18,13,"2,54%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleStartTurn(),4,5,16,11,"2,26%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleSynchronize(),5,5,9,3,"1,27%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleUpgradeStatue(Command),4,6,31,25,"4,37%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleUseFieldArtifact(Command),4,6,30,24,"4,23%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleUsePlayerArtifact(Command),4,6,31,25,"4,37%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleUseStatue(Command),4,6,32,26,"4,51%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.handleUseStructure(Command),4,6,32,26,"4,51%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.joinLobby(Lobby),4,5,11,6,"1,55%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.sendMessage(String),4,5,8,3,"1,13%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.setCurrentLobby(Lobby),4,5,9,4,"1,27%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.setLocalPlayer(Player),4,5,10,5,"1,41%"
ch.unibas.dmi.dbis.cs108.server.core.structures.protocol.CommandHandler.setLocalPlayerName(String),4,5,10,5,"1,41%"
"ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.ClientHandler(Socket, GameServer)",5,6,22,16,"5,74%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.closeResources(),3,3,21,18,"5,48%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.getCurrentLobby(),4,6,9,3,"2,35%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.getPlayer(),4,5,8,3,"2,09%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.getPlayerName(),4,5,8,3,"2,09%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.getServer(),4,5,8,3,"2,09%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.isRunning(),4,5,8,3,"2,09%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.processMessage(String),9,8,160,151,"41,78%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.run(),6,5,20,15,"5,22%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.sendGlobalChatMessage(Command),4,5,8,3,"2,09%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.sendMessage(String),5,5,23,18,"6,01%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.sendPing(),4,4,14,10,"3,66%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.setCurrentLobby(Lobby),4,6,9,3,"2,35%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.setPlayer(Player),4,5,8,3,"2,09%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.startGame(),3,3,6,3,"1,57%"
ch.unibas.dmi.dbis.cs108.server.networking.ClientHandler.stop(),3,3,6,3,"1,57%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.GameServer(int),0,0,7,7,"3,21%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.broadcast(String),4,5,10,5,"4,59%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.containsPlayerName(String),0,0,10,10,"4,59%"
"ch.unibas.dmi.dbis.cs108.server.networking.GameServer.createLobby(String, int)",5,8,18,10,"8,26%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.getClients(),4,6,9,3,"4,13%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.getLobbies(),4,6,9,3,"4,13%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.getLobby(String),4,7,15,8,"6,88%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.listPlayers(),0,0,8,8,"3,67%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.pingClients(),3,3,13,10,"5,96%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.removeClient(ClientHandler),4,5,18,13,"8,26%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.removeLobby(Lobby),4,5,9,4,"4,13%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.shutdown(),5,3,36,32,"16,51%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.start(),5,3,29,25,"13,30%"
ch.unibas.dmi.dbis.cs108.server.networking.GameServer.toString(),4,5,13,8,"5,96%"
"ch.unibas.dmi.dbis.cs108.server.old.GameClient.GameClient(String, int)",4,6,11,5,"7,01%"
ch.unibas.dmi.dbis.cs108.server.old.GameClient.connect(),8,5,37,30,"23,57%"
ch.unibas.dmi.dbis.cs108.server.old.GameClient.disconnect(),5,5,14,9,"8,92%"
ch.unibas.dmi.dbis.cs108.server.old.GameClient.handleRecievedChatMessage(Command),5,6,9,3,"5,73%"
ch.unibas.dmi.dbis.cs108.server.old.GameClient.processMessage(String),4,6,43,37,"27,39%"
ch.unibas.dmi.dbis.cs108.server.old.GameClient.sendMessage(String),5,5,10,5,"6,37%"
ch.unibas.dmi.dbis.cs108.server.old.GameClient.sendPing(),5,6,14,8,"8,92%"
ch.unibas.dmi.dbis.cs108.server.old.GameClient.start(),4,3,6,3,"3,82%"
"ch.unibas.dmi.dbis.cs108.shared.entities.ActiveTrap.ActiveTrap(int, int)",4,6,10,4,"55,56%"
ch.unibas.dmi.dbis.cs108.shared.game.Board.Board(),7,6,10,4,"6,49%"
ch.unibas.dmi.dbis.cs108.shared.game.Board.getTile(int),4,6,16,10,"10,39%"
"ch.unibas.dmi.dbis.cs108.shared.game.Board.getTileByCoordinates(int, int)",5,7,14,7,"9,09%"
ch.unibas.dmi.dbis.cs108.shared.game.Board.getTiles(),4,5,8,3,"5,19%"
"ch.unibas.dmi.dbis.cs108.shared.game.Board.initBoard(int, int)",6,7,18,10,"11,69%"
ch.unibas.dmi.dbis.cs108.shared.game.Board.resetTiles(),10,7,21,11,"13,64%"
"ch.unibas.dmi.dbis.cs108.shared.game.Board.setTile(int, int, Tile)",5,7,14,7,"9,09%"
"ch.unibas.dmi.dbis.cs108.shared.game.Board.setTileByCoordinates(int, int, Tile)",5,7,14,7,"9,09%"
ch.unibas.dmi.dbis.cs108.shared.game.Board.setTiles(Tile[][]),4,5,8,3,"5,19%"
ch.unibas.dmi.dbis.cs108.shared.game.Board.toString(),4,5,23,18,"14,94%"
"ch.unibas.dmi.dbis.cs108.shared.entities.FixedStructure.FixedStructure(int, String, String, String)",4,8,14,6,"19,44%"
ch.unibas.dmi.dbis.cs108.shared.entities.FixedStructure.getDescription(),3,4,7,3,"9,72%"
ch.unibas.dmi.dbis.cs108.shared.entities.FixedStructure.getId(),3,4,7,3,"9,72%"
ch.unibas.dmi.dbis.cs108.shared.entities.FixedStructure.getName(),3,4,7,3,"9,72%"
ch.unibas.dmi.dbis.cs108.shared.entities.FixedStructure.getUsage(),3,4,7,3,"9,72%"
ch.unibas.dmi.dbis.cs108.shared.entities.GameRound.GameRound(),4,4,8,4,"11,76%"
ch.unibas.dmi.dbis.cs108.shared.entities.GameRound.addPlayerRound(PlayerRound),4,5,8,3,"11,76%"
"ch.unibas.dmi.dbis.cs108.shared.entities.GameRound.executeRound(GameState, EventDispatcher, RuleProcessor)",6,8,15,6,"22,06%"
ch.unibas.dmi.dbis.cs108.shared.entities.GameRound.getNumber(),4,5,8,3,"11,76%"
ch.unibas.dmi.dbis.cs108.shared.entities.GameRound.nextRound(),3,3,6,3,"8,82%"
ch.unibas.dmi.dbis.cs108.shared.entities.GameRound.setNumber(int),4,5,8,3,"11,76%"
ch.unibas.dmi.dbis.cs108.shared.game.Player.Player(String),8,7,18,11,"6,64%"
ch.unibas.dmi.dbis.cs108.shared.game.Player.addArtifact(Artefact),5,5,9,3,"3,32%"
ch.unibas.dmi.dbis.cs108.shared.game.Player.addEnergy(int),4,5,12,7,"4,43%"
ch.unibas.dmi.dbis.cs108.shared.game.Player.addOwnedStructure(Structure),3,3,6,3,"2,21%"
ch.unibas.dmi.dbis.cs108.shared.game.Player.addOwnedTile(Tile),4,5,8,3,"2,95%"
ch.unibas.dmi.dbis.cs108.shared.game.Player.addRunes(int),4,5,8,3,"2,95%"
